CustomerKey,HouseOwnerFlag,NumberCarsOwned,BikeBuyer,M,S,Bachelors,Graduate Degree,High School,Partial College,Partial High School,Clerical,Management,Manual,Professional,Skilled Manual,Female,Male,Europe,North America,Pacific,0-1 Miles,1-2 Miles,10+ Miles,2-5 Miles,5-10 Miles,YearlyIncome_normalized,TotalChildren_normalized,NumberChildrenAtHome_normalized,Age_normalized,Firstpurchased_normalized
11000,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.5,0.4,0.0,0.2112676056338028,1.0
11001,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.3125,0.6,0.6,0.22535211267605634,1.0
11002,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.3125,0.6,0.6,0.22535211267605634,1.0
11003,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.375,0.0,0.0,0.18309859154929578,1.0
11004,1,4,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.4375,1.0,1.0,0.18309859154929578,1.0
11005,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.375,0.0,0.0,0.22535211267605634,1.0
11006,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.375,0.0,0.0,0.2112676056338028,1.0
11007,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.3125,0.6,0.6,0.23943661971830985,1.0
11008,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.3125,0.8,0.8,0.23943661971830985,1.0
11009,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.375,0.0,0.0,0.23943661971830985,1.0
11010,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.375,0.0,0.0,0.23943661971830985,1.0
11011,1,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.3125,0.8,0.8,0.23943661971830985,1.0
11012,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.5625,0.4,0.0,0.18309859154929578,0.3333333333333333
11013,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.5625,0.4,0.0,0.18309859154929578,0.0
11014,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.5625,0.6,0.0,0.18309859154929578,0.3333333333333333
11015,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.125,0.0,0.0,0.028169014084507043,0.3333333333333333
11016,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.125,0.0,0.0,0.028169014084507043,0.3333333333333333
11017,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.0625,0.8,0.0,0.5211267605633803,1.0
11018,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.125,0.4,0.0,0.5070422535211268,1.0
11019,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.1875,0.0,0.0,0.04225352112676056,0.3333333333333333
11020,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.1875,0.0,0.0,0.028169014084507043,0.3333333333333333
11021,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.1875,0.0,0.0,0.04225352112676056,0.3333333333333333
11022,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.1875,0.0,0.0,0.028169014084507043,0.3333333333333333
11023,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.1875,0.0,0.0,0.028169014084507043,0.3333333333333333
11024,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.3125,0.0,0.0,0.028169014084507043,0.0
11025,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.4,0.2,0.49295774647887325,1.0
11026,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.125,0.4,0.0,0.49295774647887325,1.0
11027,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.125,0.4,0.0,0.4788732394366197,1.0
11028,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.125,0.4,0.0,0.49295774647887325,1.0
11029,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.125,0.4,0.0,0.4788732394366197,1.0
11030,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.4,0.2,0.4788732394366197,1.0
11031,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.0625,0.8,0.0,0.4788732394366197,1.0
