CustomerKey,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,Age,BikeBuyer,M,S,Bachelors,Graduate Degree,High School,Partial College,Partial High School,Clerical,Management,Manual,Professional,Skilled Manual,Female,Male,Firstpurchased,Europe,North America,Pacific,0-1 Miles,1-2 Miles,10+ Miles,2-5 Miles,5-10 Miles
11000,90000,2,0,1,0,49,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,0,1,0,0,0
11001,60000,3,3,0,1,50,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,1,0,0,0,0
11002,60000,3,3,1,1,50,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,0,0,0,1,0
11003,70000,0,0,0,1,47,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,0,0,0,1
11004,80000,5,5,1,4,47,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,1,0,0,0
11005,70000,0,0,1,1,50,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,0,0,0,0,1
11006,70000,0,0,1,1,49,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,0,0,0,1
11007,60000,3,3,1,2,51,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,1,0,0,0,0
11008,60000,4,4,1,3,51,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,0,1,0,0
11009,70000,0,0,0,1,51,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,0,0,0,0,1
11010,70000,0,0,0,1,51,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,0,0,0,1
11011,60000,4,4,1,4,51,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,18,0,0,1,0,0,1,0,0
11012,100000,2,0,1,2,47,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,16,0,1,0,0,1,0,0,0
11013,100000,2,0,1,3,47,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,15,0,1,0,1,0,0,0,0
11014,100000,3,0,0,3,47,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,16,0,1,0,0,1,0,0,0
11015,30000,0,0,0,1,36,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,0,0,0,1
11016,30000,0,0,1,1,36,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,16,0,1,0,0,0,0,0,1
11017,20000,4,0,1,2,71,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,0,0,0,1
11018,30000,2,0,1,2,70,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,18,0,0,1,0,0,0,0,1
11019,40000,0,0,0,2,37,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,16,0,1,0,0,0,0,0,1
11020,40000,0,0,0,2,36,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,16,0,1,0,0,1,0,0,0
11021,40000,0,0,0,1,37,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,1,0,0,0
11022,40000,0,0,1,1,36,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,16,0,1,0,0,0,0,0,1
11023,40000,0,0,1,1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,16,0,1,0,0,1,0,0,0
11024,60000,0,0,1,2,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,15,0,1,0,0,0,0,0,1
11025,10000,2,1,1,2,69,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,18,0,0,1,0,1,0,0,0
11026,30000,2,0,0,2,69,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,18,0,0,1,0,1,0,0,0
11027,30000,2,0,1,2,68,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,18,0,0,1,0,0,0,0,1
11028,30000,2,0,1,2,69,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,18,0,0,1,0,1,0,0,0
11029,30000,2,0,1,2,68,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,18,0,0,1,0,1,0,0,0
11030,10000,2,1,1,2,68,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,18,0,0,1,0,1,0,0,0
11031,20000,4,0,1,2,68,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,1,0,0,0
11032,20000,4,0,1,2,68,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,1,0,0,0
11033,20000,4,0,1,2,67,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11034,20000,4,0,1,2,68,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,0,0,0,1
11035,10000,2,1,1,2,67,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,18,0,0,1,0,1,0,0,0
11036,60000,0,0,1,2,36,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,1,0,0,0
11037,40000,0,0,0,2,37,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,16,0,1,0,0,0,0,0,1
11038,10000,2,1,1,2,67,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,18,0,0,1,0,0,0,0,1
11039,30000,3,0,1,2,66,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,18,0,0,1,0,0,0,0,1
11040,30000,0,0,1,2,38,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,15,0,1,0,0,1,0,0,0
11041,60000,0,0,1,2,37,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,1,0,0,0
11042,70000,0,0,1,2,38,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,1,0,0,0,0
11043,60000,0,0,1,2,39,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,15,0,1,0,0,0,0,0,1
11044,20000,2,1,1,2,66,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,18,0,0,1,0,1,0,0,0
11045,30000,3,0,0,2,65,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,15,0,0,1,0,1,0,0,0
11046,30000,3,0,1,2,65,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,0,0,0,1
11047,30000,3,0,0,2,65,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,1,0,0,0
11048,30000,3,0,1,2,64,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11049,40000,0,0,1,2,35,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,16,0,1,0,0,0,0,0,1
11050,30000,3,0,1,2,64,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11051,30000,3,0,0,2,64,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,15,0,0,1,0,1,0,0,0
11052,40000,2,0,0,2,64,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,18,0,0,1,0,0,0,0,1
11053,60000,0,0,0,2,35,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,1,0,0,0
11054,40000,2,0,1,2,63,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,18,0,0,1,0,0,0,0,1
11055,40000,2,0,1,2,63,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11056,40000,3,0,1,2,62,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,18,0,0,1,0,0,0,0,1
11057,70000,2,0,1,2,61,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,18,0,0,1,0,1,0,0,0
11058,80000,2,0,1,2,61,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,18,0,0,1,0,1,0,0,0
11059,80000,2,0,1,2,61,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,16,0,0,1,0,0,0,0,1
11060,80000,2,0,1,2,61,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11061,80000,2,0,1,2,61,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,1
11062,40000,0,0,1,2,40,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,16,0,1,0,0,0,0,0,1
11063,40000,0,0,1,2,40,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,16,0,1,0,0,0,0,0,1
11064,40000,0,0,1,2,39,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,16,0,1,0,0,0,0,0,1
11065,60000,0,0,0,2,41,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,16,0,1,0,0,1,0,0,0
11066,70000,0,0,1,2,41,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,15,0,1,0,0,0,0,0,1
11067,60000,0,0,1,2,38,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,15,0,1,0,0,0,0,0,1
11068,80000,2,0,1,2,59,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,15,0,0,1,0,0,0,0,1
11069,80000,2,0,0,2,59,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,17,0,0,1,0,1,0,0,0
11070,80000,2,0,1,2,60,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,17,0,0,1,0,0,0,0,1
11071,80000,2,0,1,2,60,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,16,0,0,1,0,0,0,0,1
11072,80000,2,0,0,2,60,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,18,0,0,1,0,1,0,0,0
11073,70000,2,0,1,2,59,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,16,0,0,1,0,0,0,0,1
11074,70000,2,0,1,2,59,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,16,0,0,1,0,0,0,0,1
11075,80000,2,0,1,2,57,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,17,0,0,1,0,0,0,0,1
11076,80000,2,0,1,2,58,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,17,0,0,1,0,0,0,0,1
11077,80000,2,0,0,2,57,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,17,0,0,1,0,1,0,0,0
11078,40000,0,0,0,2,41,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,16,0,1,0,0,1,0,0,0
11079,160000,0,0,1,2,56,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16,0,0,1,1,0,0,0,0
